X,Y,id,left,top,right,bottom,row_index,col_index
121.280535618398,25.1224388629728,21,277789.21,2779868.6283,278789.21,2778868.6283,20,0
121.280515009249,25.1134107323167,22,277789.21,2778868.6283,278789.21,2777868.6283,21,0
121.280494410053,25.1043825906525,23,277789.21,2777868.6283,278789.21,2776868.6283,22,0
121.280473820807,25.095354437983,24,277789.21,2776868.6283,278789.21,2775868.6283,23,0
121.290473567754,25.1314478759312,91,278789.21,2780868.6283,279789.21,2779868.6283,19,1
121.290452219812,25.1224197640847,92,278789.21,2779868.6283,279789.21,2778868.6283,20,1
121.290430882178,25.1133916412262,93,278789.21,2778868.6283,279789.21,2777868.6283,21,1
121.290409554849,25.1043635073583,94,278789.21,2777868.6283,279789.21,2776868.6283,22,1
121.290388237822,25.0953353624841,95,278789.21,2776868.6283,279789.21,2775868.6283,23,1
121.300390887692,25.1314281055961,162,279789.21,2780868.6283,280789.21,2779868.6283,19,2
121.300368810917,25.1224000018191,163,279789.21,2779868.6283,280789.21,2778868.6283,20,2
121.300346744802,25.1133718870288,164,279789.21,2778868.6283,280789.21,2777868.6283,21,2
121.300324689344,25.1043437612281,165,279789.21,2777868.6283,280789.21,2776868.6283,22,2
121.300302644539,25.0953156244199,166,279789.21,2776868.6283,280789.21,2775868.6283,23,2
121.300280610385,25.086287476607,167,279789.21,2775868.6283,280789.21,2774868.6283,24,2
121.310308196967,25.1314076716153,233,280789.21,2780868.6283,281789.21,2779868.6283,19,3
121.310285391362,25.1223795761787,234,280789.21,2779868.6283,281789.21,2778868.6283,20,3
121.310262596769,25.1133514697275,235,280789.21,2778868.6283,281789.21,2777868.6283,21,3
121.310239813185,25.1043233522648,236,280789.21,2777868.6283,281789.21,2776868.6283,22,3
121.310217040606,25.0952952237933,237,280789.21,2776868.6283,281789.21,2775868.6283,23,3
121.310194279029,25.0862670843159,238,280789.21,2775868.6283,281789.21,2774868.6283,24,3
121.309831587155,24.941815358234,254,280789.21,2759868.6283,281789.21,2758868.6283,40,3
121.309809012069,24.9327870320984,255,280789.21,2758868.6283,281789.21,2757868.6283,41,3
121.309786447921,24.923758695009,256,280789.21,2757868.6283,281789.21,2756868.6283,42,3
121.309763894708,24.9147303469686,257,280789.21,2756868.6283,281789.21,2755868.6283,43,3
121.309741352427,24.9057019879801,258,280789.21,2755868.6283,281789.21,2754868.6283,44,3
121.309718821073,24.8966736180464,259,280789.21,2754868.6283,281789.21,2753868.6283,45,3
121.320225495225,25.1313865739917,304,281789.21,2780868.6283,282789.21,2779868.6283,19,4
121.320201960794,25.1223584871662,305,281789.21,2779868.6283,282789.21,2778868.6283,20,4
121.320178437727,25.113330389325,306,281789.21,2778868.6283,282789.21,2777868.6283,21,4
121.320154926021,25.104302280471,307,281789.21,2777868.6283,282789.21,2776868.6283,22,4
121.320131425671,25.095274160607,308,281789.21,2776868.6283,282789.21,2775868.6283,23,4
121.320107936675,25.0862460297359,309,281789.21,2775868.6283,282789.21,2774868.6283,24,4
121.319850305996,24.9869358645106,320,281789.21,2764868.6283,282789.21,2763868.6283,35,4
121.319826952956,24.9779076017794,321,281789.21,2763868.6283,282789.21,2762868.6283,36,4
121.319803611222,24.9688793280787,322,281789.21,2762868.6283,282789.21,2761868.6283,37,4
121.31978028079,24.9598510434112,323,281789.21,2761868.6283,282789.21,2760868.6283,38,4
121.319756961658,24.95082274778,324,281789.21,2760868.6283,282789.21,2759868.6283,39,4
121.319733653821,24.9417944411879,325,281789.21,2759868.6283,282789.21,2758868.6283,40,4
121.319710357275,24.9327661236379,326,281789.21,2758868.6283,282789.21,2757868.6283,41,4
121.319687072017,24.9237377951327,327,281789.21,2757868.6283,282789.21,2756868.6283,42,4
121.319663798044,24.9147094556754,328,281789.21,2756868.6283,282789.21,2755868.6283,43,4
121.319640535352,24.9056811052688,329,281789.21,2755868.6283,282789.21,2754868.6283,44,4
121.319617283937,24.8966527439158,330,281789.21,2754868.6283,282789.21,2753868.6283,45,4
121.319594043795,24.8876243716193,331,281789.21,2753868.6283,282789.21,2752868.6283,46,4
121.330142782116,25.131364812728,375,282789.21,2780868.6283,283789.21,2779868.6283,19,5
121.330118518862,25.1223367347846,376,282789.21,2779868.6283,283789.21,2778868.6283,20,5
121.330094267325,25.1133086458242,377,282789.21,2778868.6283,283789.21,2777868.6283,21,5
121.3300700275,25.1042805458497,378,282789.21,2777868.6283,283789.21,2776868.6283,22,5
121.330045799383,25.095252434864,379,282789.21,2776868.6283,283789.21,2775868.6283,23,5
121.330021582972,25.0862243128699,380,282789.21,2775868.6283,283789.21,2774868.6283,24,5
121.329997378261,25.0771961798703,381,282789.21,2774868.6283,283789.21,2773868.6283,25,5
121.329973185248,25.0681680358682,382,282789.21,2773868.6283,283789.21,2772868.6283,26,5
121.329755973895,24.9869142452081,391,282789.21,2764868.6283,283789.21,2763868.6283,35,5
121.32973189765,24.9778859913387,392,282789.21,2763868.6283,283789.21,2762868.6283,36,5
121.329707833061,24.9688577264986,393,282789.21,2762868.6283,283789.21,2761868.6283,37,5
121.329683780124,24.9598294506905,394,282789.21,2761868.6283,283789.21,2760868.6283,38,5
121.329659738837,24.9508011639174,395,282789.21,2760868.6283,283789.21,2759868.6283,39,5
121.329635709194,24.9417728661821,396,282789.21,2759868.6283,283789.21,2758868.6283,40,5
121.329611691193,24.9327445574876,397,282789.21,2758868.6283,283789.21,2757868.6283,41,5
121.329587684829,24.9237162378368,398,282789.21,2757868.6283,283789.21,2756868.6283,42,5
121.329563690099,24.9146879072325,399,282789.21,2756868.6283,283789.21,2755868.6283,43,5
121.329539706999,24.9056595656777,400,282789.21,2755868.6283,283789.21,2754868.6283,44,5
121.329515735526,24.8966312131752,401,282789.21,2754868.6283,283789.21,2753868.6283,45,5
121.329491775676,24.8876028497281,402,282789.21,2753868.6283,283789.21,2752868.6283,46,5
121.329396052428,24.8514892865502,406,282789.21,2749868.6283,283789.21,2748868.6283,50,5
121.329372150636,24.842460868423,407,282789.21,2748868.6283,283789.21,2747868.6283,51,5
121.329348260444,24.8334324393685,408,282789.21,2747868.6283,283789.21,2746868.6283,52,5
121.340085061431,25.1403704455968,445,283789.21,2781868.6283,284789.21,2780868.6283,18,6
121.340060057286,25.1313423878275,446,283789.21,2780868.6283,284789.21,2779868.6283,19,6
121.340035065214,25.122314319037,447,283789.21,2779868.6283,284789.21,2778868.6283,20,6
