county,district,area,restaurant_count,join_key,density,suggested_radius_m
新北市,板橋區,23.1373,1354,新北市板橋區,58.52,500
新北市,三重區,16.317,980,新北市三重區,60.06,500
新北市,中和區,20.144,1179,新北市中和區,58.53,500
新北市,永和區,5.7138,674,新北市永和區,117.96,500
新北市,新莊區,19.7383,1057,新北市新莊區,53.55,500
新北市,新店區,120.2255,834,新北市新店區,6.94,900
新北市,樹林區,33.1288,314,新北市樹林區,9.48,800
新北市,鶯歌區,21.1248,119,新北市鶯歌區,5.63,1000
新北市,三峽區,191.4508,223,新北市三峽區,1.16,2100
新北市,淡水區,70.6565,469,新北市淡水區,6.64,900
新北市,汐止區,71.2354,649,新北市汐止區,9.11,800
新北市,瑞芳區,70.7336,51,新北市瑞芳區,0.72,2600
新北市,土城區,29.5578,363,新北市土城區,12.28,700
新北市,蘆洲區,7.4351,392,新北市蘆洲區,52.72,500
新北市,五股區,34.8632,203,新北市五股區,5.82,1000
新北市,泰山區,19.1603,137,新北市泰山區,7.15,900
新北市,林口區,54.1519,504,新北市林口區,9.31,800
新北市,深坑區,20.5787,61,新北市深坑區,2.96,1300
新北市,石碇區,144.3498,9,新北市石碇區,0.06,5000
新北市,坪林區,170.835,10,新北市坪林區,0.06,5000
新北市,三芝區,65.9909,60,新北市三芝區,0.91,2300
新北市,石門區,51.2645,12,新北市石門區,0.23,4600
新北市,八里區,39.4933,90,新北市八里區,2.28,1500
新北市,平溪區,71.3382,14,新北市平溪區,0.2,4900
新北市,雙溪區,146.2484,3,新北市雙溪區,0.02,5000
新北市,貢寮區,99.9734,16,新北市貢寮區,0.16,5000
新北市,金山區,49.2132,33,新北市金山區,0.67,2700
新北市,萬里區,63.3766,35,新北市萬里區,0.55,3000
新北市,烏來區,321.1306,32,新北市烏來區,0.1,5000
臺北市,松山區,9.2878,1923,臺北市松山區,207.05,500
臺北市,信義區,11.2077,1634,臺北市信義區,145.79,500
臺北市,大安區,11.3614,4068,臺北市大安區,358.05,500
臺北市,中山區,13.6821,3528,臺北市中山區,257.86,500
臺北市,中正區,7.6071,1373,臺北市中正區,180.49,500
臺北市,大同區,5.6815,822,臺北市大同區,144.68,500
臺北市,萬華區,8.8522,666,臺北市萬華區,75.24,500
臺北市,文山區,31.509,308,臺北市文山區,9.77,700
臺北市,南港區,21.8424,267,臺北市南港區,12.22,700
臺北市,內湖區,31.5787,1038,臺北市內湖區,32.87,500
臺北市,士林區,62.3682,774,臺北市士林區,12.41,700
臺北市,北投區,56.8216,332,臺北市北投區,5.84,1000
桃園市,桃園區,34.8046,1428,桃園市桃園區,41.03,500
桃園市,中壢區,76.52,980,桃園市中壢區,12.81,700
桃園市,大溪區,105.1206,85,桃園市大溪區,0.81,2500
桃園市,楊梅區,89.1229,187,桃園市楊梅區,2.1,1600
桃園市,蘆竹區,75.5025,380,桃園市蘆竹區,5.03,1000
桃園市,大園區,87.3925,138,桃園市大園區,1.58,1800
桃園市,龜山區,72.0177,349,桃園市龜山區,4.85,1000
桃園市,八德區,33.7111,206,桃園市八德區,6.11,900
桃園市,龍潭區,75.2341,201,桃園市龍潭區,2.67,1400
